Datum/tijd (MET);Astronomisch;Gemeten waterstand;Verwachte opzet;Verwachting RWS
2018-01-14 06:50;-49;-71;-23;-72
2018-01-14 07:00;-48;-70;-24;-72
2018-01-14 07:10;-47;-71;-25;-72
2018-01-14 07:20;-46;-72;-26;-72
2018-01-14 07:30;-45;-70;-27;-72
2018-01-14 07:40;-45;-70;-27;-72
2018-01-14 07:50;-45;-69;-26;-71
2018-01-14 08:00;-45;-69;-27;-72
2018-01-14 08:10;-45;-70;-27;-72
2018-01-14 08:20;-46;-71;-27;-73
2018-01-14 08:30;-47;-72;-27;-74
2018-01-14 08:40;-48;-72;-27;-75
2018-01-14 08:50;-48;-74;-28;-76
2018-01-14 09:00;-49;-73;-28;-77
2018-01-14 09:10;-50;-73;-27;-77
2018-01-14 09:20;-50;-73;-27;-77
2018-01-14 09:30;-49;-71;-29;-78
2018-01-14 09:40;-48;-69;-28;-76
2018-01-14 09:50;-46;-67;-28;-74
2018-01-14 10:00;-43;-65;-29;-72
2018-01-14 10:10;-39;-62;-31;-70
2018-01-14 10:20;-35;-58;-31;-66
2018-01-14 10:30;-29;-55;-32;-61
2018-01-14 10:40;-23;-50;-33;-56
2018-01-14 10:50;-16;-45;-34;-50
2018-01-14 11:00;-8;-38;-34;-42
2018-01-14 11:10;0;-30;-34;-34
2018-01-14 11:20;9;-20;-32;-23
2018-01-14 11:30;19;-8;-30;-11
2018-01-14 11:40;30;4;-26;4
2018-01-14 11:50;41;18;-21;20
2018-01-14 12:00;52;33;-13;39
2018-01-14 12:10;63;47;-10;53
2018-01-14 12:20;73;60;-8;65
2018-01-14 12:30;83;73;-7;76
2018-01-14 12:40;91;81;-8;83
2018-01-14 12:50;97;89;-8;89
2018-01-14 13:00;102;93;-11;91
2018-01-14 13:10;105;94;-14;91
2018-01-14 13:20;107;93;-17;90
2018-01-14 13:30;107;92;-19;88
2018-01-14 13:40;106;90;-21;85
2018-01-14 13:50;105;88;-22;83
2018-01-14 14:00;103;84;-22;81
2018-01-14 14:10;100;82;-21;79
2018-01-14 14:20;98;80;-20;78
2018-01-14 14:30;95;76;-19;76
2018-01-14 14:40;92;74;-20;72
2018-01-14 14:50;89;69;-19;70
2018-01-14 15:00;85;64;-19;66
2018-01-14 15:10;80;59;-18;62
2018-01-14 15:20;74;53;-17;57
2018-01-14 15:30;68;48;-17;51
2018-01-14 15:40;61;43;-15;46
2018-01-14 15:50;53;38;-13;40
2018-01-14 16:00;46;33;-12;34
2018-01-14 16:10;38;27;-11;27
2018-01-14 16:20;31;19;-11;20
2018-01-14 16:30;23;12;-11;12
2018-01-14 16:40;16;4;-12;4
2018-01-14 16:50;10;-5;-15;-5
2018-01-14 17:00;3;-14;-17;-14
2018-01-14 17:10;-4;-22;-18;-22
2018-01-14 17:20;-10;-29;-21;-31
2018-01-14 17:30;-17;-36;-21;-38
2018-01-14 17:40;-23;-42;-21;-44
2018-01-14 17:50;-28;-47;-21;-49
2018-01-14 18:00;-34;-52;-19;-53
2018-01-14 18:10;-38;-55;-18;-56
2018-01-14 18:20;-42;-59;-17;-59
2018-01-14 18:30;-45;-61;-15;-60
2018-01-14 18:40;-47;-64;-15;-62
2018-01-14 18:50;-48;-66;-15;-63
2018-01-14 19:00;-49;-65;-15;-64
2018-01-14 19:10;-49;-66;-15;-64
2018-01-14 19:20;-49;-65;-15;-64
2018-01-14 19:30;-49;-63;-16;-65
2018-01-14 19:40;-48;-65;-19;-67
2018-01-14 19:50;-48;-65;-20;-68
2018-01-14 20:00;-47;-66;-22;-69
2018-01-14 20:10;-47;-68;-24;-71
2018-01-14 20:20;-47;-70;-25;-72
2018-01-14 20:30;-46;-72;-27;-73
2018-01-14 20:40;-46;-71;-29;-75
